region,anzsic_descriptor,gas,units,magnitude,year,data_val
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,2174.81
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,2102.32
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,2302.9
Taranaki,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,2202.04
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,494.94
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,504.43
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,547.28
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,485.04
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,470.29
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,476.8
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,502.16
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,483.83
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,563.51
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,431.85
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,472.01
Tasman/Nelson,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,499.32
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,7297.74
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,6963.94
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,7132.16
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,7090.08
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,7194.95
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,7350.28
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,7453.32
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,7640.95
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,7291.86
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,7544.43
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,7494.72
Waikato,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,7534.03
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,1231.29
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,1224.72
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,1143.96
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,1145.82
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,1226.16
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,1221.26
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,1181.32
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,1153.32
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,1117.44
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,1078.78
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,1142.06
Wellington,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,1116.05
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,633.8
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,626.03
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,701.53
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,633.2
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,704.9
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,694.09
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,683.07
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,757.91
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,736.14
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,702.86
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,652.02
West Coast,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,581.21
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,76.4
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,67.74
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,66.35
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,61.45
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,60
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,69.36
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,75.52
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,68.81
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,65.06
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,71.1
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,63.22
Auckland,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,70.05
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,123.8
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,108.07
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,111.56
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,145.51
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,154.14
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,142.52
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,153.06
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,150.85
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,154.87
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,149.56
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,175.17
Bay of Plenty,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,161.49
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,431.4
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,361.36
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,398.78
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,459
Canterbury,"Forestry, fishing, and mining",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,445.72
